"Strain","Location","Isolation.type","SNP.cluster","Min.same","AMR.genotypes","day","month","year","Isolation.source.category","region"
"Other","USA","clinical","PDS000034950.15",0,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",9,8,2015,"Human","USA, General"
"Other","USA","clinical","PDS000043350.7",NA,"Other",23,3,2016,"Missing and Other","USA, General"
"Other","IA",NA,"PDS000062301.4",NA,"Other",29,10,2014,"Missing and Other","Midwest"
"Other","IA",NA,"PDS000062301.4",NA,"Other",31,1,2014,"Missing and Other","Midwest"
"Other","IA",NA,"PDS000062301.4",NA,"Other",10,1,2014,"Missing and Other","Midwest"
"Other","IA",NA,"PDS000062301.4",NA,"Other",14,1,2014,"Missing and Other","Midwest"
"Other","WA","environmental/other","PDS000037871.3",29,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",8,7,2013,"Poultry","West"
"Other","TN","environmental/other","PDS000012434.7",20,"Other",18,7,2014,"Produce and Food","South"
"Other","TN","environmental/other","PDS000012434.7",0,"Other",27,6,2014,"Poultry","South"
"Other","TN","environmental/other","PDS000012434.7",1,"Other",30,6,2014,"Poultry","South"
"Other","TN","environmental/other","PDS000012434.7",0,"Other",27,6,2014,"Poultry","South"
"Other","TN","environmental/other","PDS000012434.7",12,"Other",27,6,2014,"Poultry","South"
"Other","TN","environmental/other","PDS000012434.7",1,"Other",27,6,2014,"Poultry","South"
"Other","TN","environmental/other","PDS000012434.7",1,"Other",17,7,2014,"Poultry","South"
"Other","TN","environmental/other","PDS000012434.7",12,"Other",23,6,2014,"Poultry","South"
"Other","TN","environmental/other","PDS000012434.7",4,"Other",28,6,2014,"Poultry","South"
"Other","TN","environmental/other","PDS000012434.7",7,"Other",17,7,2014,"Poultry","South"
"Other","TN","environmental/other","PDS000012434.7",3,"Other",17,7,2014,"Poultry","South"
"Other","NC","environmental/other","PDS000013540.7",1,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",31,7,2014,"Human","South"
"Other","NC","environmental/other","PDS000013540.7",4,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",31,7,2014,"Human","South"
"Other","NC","environmental/other","PDS000013540.7",2,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",31,7,2014,"Human","South"
"Other","NC","environmental/other","PDS000013540.7",4,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",31,7,2014,"Human","South"
"Other","NC","environmental/other","PDS000013540.7",2,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",31,7,2014,"Human","South"
"Other","NC","environmental/other","PDS000013540.7",1,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",31,7,2014,"Human","South"
"Other","NC","environmental/other","PDS000013540.7",2,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",14,9,2015,"Human","South"
"Other","NC","environmental/other","PDS000013540.7",5,"Other",1,6,2015,"Human","South"
"Other","NC","environmental/other","PDS000013540.7",3,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",14,9,2015,"Human","South"
"Other","NC","environmental/other","PDS000013540.7",2,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",1,6,2015,"Human","South"
"Other","NC","environmental/other","PDS000013540.7",2,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",1,6,2015,"Human","South"
"Other","FL","environmental/other","PDS000016073.1",1,"Other",30,10,2015,"Human","South"
"Other","FL","environmental/other","PDS000016073.1",0,"Other",30,10,2015,"Human","South"
"Other","FL","environmental/other","PDS000016073.1",0,"Other",30,10,2015,"Human","South"
"Other","FL","environmental/other","PDS000016073.1",0,"Other",30,10,2015,"Human","South"
"Other","FL","environmental/other","PDS000016073.1",0,"Other",30,10,2015,"Human","South"
"Other","FL","environmental/other","PDS000016073.1",0,"Other",30,10,2015,"Human","South"
"Other","FL","environmental/other","PDS000016073.1",0,"Other",30,10,2015,"Human","South"
"Other","FL","environmental/other","PDS000016073.1",4,"Other",30,10,2015,"Environment","South"
"Other","FL","environmental/other","PDS000016073.1",1,"Other",30,10,2015,"Human","South"
"Other","FL","environmental/other","PDS000016073.1",1,"Other",30,10,2015,"Human","South"
"Other","FL","environmental/other","PDS000016073.1",1,"Other",10,10,2015,"Environment","South"
"Other","NE","environmental/other","PDS000034492.25",39,"Other",19,5,2015,"Missing and Other","Midwest"
"Other","USA","clinical","PDS000044997.14",9,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",15,7,2016,"Missing and Other","USA, General"
"Other","USA","clinical","PDS000033912.7",6,"Other",12,8,2015,"Human","USA, General"
"Other","FL","environmental/other","PDS000038130.6",26,"Other",18,7,2013,"Poultry","South"
"Other","DC","environmental/other","PDS000038130.6",34,"Other",5,11,2014,"Poultry","South"
NA,"AK",NA,"PDS000038130.6",NA,"Other",26,7,2016,"Animal(Other)","West"
"Other","USA","clinical","PDS000044986.12",19,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",8,2,2014,"Human","USA, General"
"Other","DC","environmental/other","PDS000038129.3",NA,"Other",5,11,2014,"Poultry","South"
"Other","USA","clinical","PDS000003565.20",15,"Other",28,8,2016,"Human","USA, General"
"Other","USA","clinical","PDS000003598.19",34,"acrF=COMPLETE,blaEC=COMPLETE,glpT_E448K=POINT,mdtM=COMPLETE",19,3,2015,"Missing and Other","USA, General"
"Other","USA","clinical","PDS000003598.19",28,"acrF=COMPLETE,blaEC=COMPLETE,glpT_E448K=POINT,mdtM=COMPLETE",30,5,2014,"Human","USA, General"
"Other","USA","clinical","PDS000054862.5",18,"Other",15,1,2016,"Human","USA, General"
"Other","AZ","environmental/other","PDS000067001.12",35,"Other",15,7,2013,"Poultry","West"
"Other","KY","environmental/other","PDS000067001.12",42,"Other",17,7,2013,"Poultry","South"
"Other","AZ","environmental/other","PDS000006787.25",21,"Other",6,10,2014,"Cattle","West"
"Other","AZ","environmental/other","PDS000006787.25",0,"Other",21,3,2014,"Animal(Other)","West"
"Other","NC","environmental/other","PDS000013547.12",33,"Other",26,5,2014,"Poultry","South"
"Other","TN","environmental/other","PDS000013547.12",0,"Other",29,6,2015,"Poultry","South"
"Other","TN","environmental/other","PDS000013547.12",0,"Other",27,7,2015,"Poultry","South"
"Other","TN","environmental/other","PDS000013547.12",1,"Other",27,7,2015,"Poultry","South"
"Other","TN","environmental/other","PDS000013547.12",0,"Other",27,7,2015,"Poultry","South"
"Other","TN","environmental/other","PDS000013547.12",0,"Other",29,6,2015,"Animal(Other)","South"
"Other","TN","environmental/other","PDS000013547.12",0,"Other",27,7,2015,"Poultry","South"
"Other","TN","environmental/other","PDS000013547.12",0,"Other",27,7,2015,"Poultry","South"
"Other","TN","environmental/other","PDS000013547.12",0,"Other",27,7,2015,"Poultry","South"
"Other","TN","environmental/other","PDS000013547.12",0,"Other",29,6,2015,"Poultry","South"
"Other","TN","environmental/other","PDS000013547.12",0,"Other",27,7,2015,"Poultry","South"
"Other","USA","clinical","PDS000035772.7",0,"Other",13,4,2015,"Missing and Other","USA, General"
"Other","USA","clinical","PDS000035772.7",0,"Other",12,4,2015,"Missing and Other","USA, General"
"Other","MO","clinical","PDS000035260.10",9,"Other",2,10,2016,"Human","Midwest"
"Other","USA","clinical","PDS000033132.11",34,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",23,1,2015,"Human","USA, General"
"Other","PA","environmental/other","PDS000034770.3",5,"Other",16,7,2013,"Poultry","Northeast"
"Other","DC","environmental/other","PDS000034770.3",5,"Other",5,11,2014,"Poultry","South"
NA,"AK",NA,"PDS000039897.10",NA,"Other",16,8,2016,"Animal(Other)","West"
NA,"AK",NA,"PDS000039897.10",NA,"Other",15,8,2016,"Animal(Other)","West"
"Other","LA","environmental/other","PDS000034831.3",28,"Other",10,7,2013,"Poultry","South"
"Other","USA","clinical","PDS000016609.13",1,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",14,12,2015,"Missing and Other","USA, General"
"Other","USA","clinical","PDS000016609.13",0,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",23,3,2016,"Missing and Other","USA, General"
"Other","KS","environmental/other","PDS000070913.1",5,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",17,7,2013,"Cattle","Midwest"
"Other","KS","environmental/other","PDS000070913.1",37,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",24,7,2013,"Cattle","Midwest"
"Other","USA",NA,"PDS000070913.1",NA,"acrF=COMPLETE,blaEC=COMPLETE,glpT_E448K=POINT,mdtM=COMPLETE,pmrB_Y358N=POINT",24,7,2013,"Cattle","USA, General"
"Other","USA",NA,"PDS000070913.1",NA,"acrF=COMPLETE,blaEC=COMPLETE,glpT_E448K=POINT,mdtM=COMPLETE,pmrB_Y358N=POINT",17,7,2013,"Cattle","USA, General"
"Other","NE","environmental/other","PDS000070913.1",0,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",11,8,2014,"Cattle","Midwest"
"Other","NE","environmental/other","PDS000070913.1",0,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",11,8,2014,"Cattle","Midwest"
"Other","NE","environmental/other","PDS000070913.1",2,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",11,8,2014,"Cattle","Midwest"
"Other","NE","environmental/other","PDS000070913.1",1,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",11,8,2014,"Cattle","Midwest"
"Other","NE","environmental/other","PDS000070913.1",2,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",11,8,2014,"Cattle","Midwest"
"Other","NE","environmental/other","PDS000070913.1",4,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",11,8,2014,"Cattle","Midwest"
"Other","NE","environmental/other","PDS000070913.1",0,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",16,6,2014,"Cattle","Midwest"
"Other","NE","environmental/other","PDS000070920.2",10,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",18,8,2014,"Cattle","Midwest"
"Other","NE","environmental/other","PDS000070920.2",4,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",18,8,2014,"Cattle","Midwest"
"Other","NE","environmental/other","PDS000070920.2",8,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",18,8,2014,"Cattle","Midwest"
"Other","NE","environmental/other","PDS000070920.2",4,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",18,8,2014,"Cattle","Midwest"
"Other","TX","environmental/other","PDS000070920.2",0,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",28,7,2014,"Cattle","South"
"Other","NE","environmental/other","PDS000070920.2",0,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",21,7,2014,"Cattle","Midwest"
"Other","NE","environmental/other","PDS000070920.2",4,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",21,7,2014,"Cattle","Midwest"
"Other","TX","environmental/other","PDS000070920.2",10,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",7,7,2014,"Cattle","South"
"Other","TX","environmental/other","PDS000070920.2",10,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",30,6,2014,"Cattle","South"
"Other","NE","environmental/other","PDS000070920.2",10,"Other",23,6,2014,"Cattle","Midwest"
"Other","FL","environmental/other","PDS000001125.13",0,"Other",29,9,2015,"Cattle","South"
"Other","FL","environmental/other","PDS000001125.13",0,"Other",3,10,2015,"Cattle","South"
"Other","FL","environmental/other","PDS000001125.13",1,"Other",29,9,2015,"Cattle","South"
"Other","FL","environmental/other","PDS000001125.13",0,"Other",29,9,2015,"Cattle","South"
"Other","FL","environmental/other","PDS000001125.13",0,"Other",3,10,2015,"Cattle","South"
"Other","FL","environmental/other","PDS000001125.13",0,"Other",29,9,2015,"Cattle","South"
"Other","FL","environmental/other","PDS000001125.13",0,"Other",3,10,2015,"Cattle","South"
"Other","FL","environmental/other","PDS000001125.13",0,"Other",3,10,2015,"Cattle","South"
"Other","FL","environmental/other","PDS000001125.13",0,"Other",23,9,2015,"Missing and Other","South"
"Other","FL","environmental/other","PDS000001125.13",0,"Other",3,10,2015,"Cattle","South"
"Other","MS",NA,"PDS000001125.13",NA,"Other",3,8,2015,"Missing and Other","South"
"O145:H28","USA","environmental/other","PDS000082054.2",0,"Other",17,11,2015,"Cattle","USA, General"
"O145:H28","USA","environmental/other","PDS000082054.2",0,"Other",17,11,2015,"Cattle","USA, General"
"Other","NE","environmental/other","PDS000070935.1",0,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE,tet(A)=COMPLETE",17,6,2013,"Cattle","Midwest"
"Other","NE","environmental/other","PDS000070935.1",0,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE,tet(A)=COMPLETE",17,6,2013,"Cattle","Midwest"
"Other","NE","environmental/other","PDS000070935.1",11,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE,tet(A)=COMPLETE",19,8,2013,"Cattle","Midwest"
"Other","NE","environmental/other","PDS000070935.1",7,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE,tet(A)=COMPLETE",19,8,2013,"Cattle","Midwest"
"Other","NE","environmental/other","PDS000070935.1",7,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",22,7,2013,"Cattle","Midwest"
"Other","NE","environmental/other","PDS000070935.1",2,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE,tet(A)=COMPLETE",15,7,2013,"Cattle","Midwest"
"Other","NE","environmental/other","PDS000070935.1",4,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE,tet(A)=COMPLETE",15,7,2013,"Cattle","Midwest"
"Other","NE","environmental/other","PDS000070935.1",13,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",18,8,2014,"Cattle","Midwest"
"Other","NE","environmental/other","PDS000070935.1",15,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE,tet(A)=COMPLETE",18,8,2014,"Cattle","Midwest"
"Other","NE","environmental/other","PDS000070935.1",7,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE,tet(A)=COMPLETE",11,8,2014,"Cattle","Midwest"
"Other","NE","environmental/other","PDS000070935.1",7,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",11,8,2014,"Cattle","Midwest"
"Other","NE","environmental/other","PDS000070935.1",11,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE,tet(A)=COMPLETE",1,7,2013,"Cattle","Midwest"
"Other","NE","environmental/other","PDS000070935.1",13,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",21,7,2014,"Cattle","Midwest"
"Other","NE","environmental/other","PDS000070935.1",1,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE,tet(A)=COMPLETE",14,7,2014,"Cattle","Midwest"
"Other","NE","environmental/other","PDS000070935.1",3,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE,tet(A)=COMPLETE",24,6,2013,"Cattle","Midwest"
"Other","NE","environmental/other","PDS000070935.1",0,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",16,6,2014,"Cattle","Midwest"
"Other","NE","environmental/other","PDS000070935.1",0,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",16,6,2014,"Cattle","Midwest"
"Other","NE","environmental/other","PDS000070935.1",1,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",16,6,2014,"Cattle","Midwest"
"Other","IA",NA,"PDS000054040.6",NA,"Other",23,10,2014,"Missing and Other","Midwest"
"Other","IA",NA,"PDS000054040.6",NA,"Other",1,10,2014,"Missing and Other","Midwest"
"Other","IA",NA,"PDS000054040.6",NA,"Other",22,9,2014,"Missing and Other","Midwest"
"Other","IA",NA,"PDS000054040.6",NA,"Other",15,10,2014,"Missing and Other","Midwest"
"Other","VA",NA,"PDS000054040.6",NA,"Other",21,11,2014,"Missing and Other","South"
"Other","IA",NA,"PDS000054040.6",NA,"Other",10,10,2014,"Missing and Other","Midwest"
"Other","IA",NA,"PDS000054040.6",NA,"Other",2,10,2014,"Missing and Other","Midwest"
"Other","DC","environmental/other","PDS000034769.9",28,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE,tet(A)=COMPLETE",5,11,2014,"Poultry","South"
"Other","AR","environmental/other","PDS000034769.9",28,"Other",3,11,2014,"Poultry","South"
"Other","TN","environmental/other","PDS000034769.9",31,"Other",18,8,2014,"Poultry","South"
NA,"AK","environmental/other","PDS000084113.1",21,"Other",9,8,2016,"Animal(Other)","West"
"Other","USA","clinical","PDS000007070.32",15,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",13,1,2014,"Human","USA, General"
"Other","AZ","environmental/other","PDS000050791.4",14,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",15,9,2014,"Cattle","West"
"Other","MA","clinical","PDS000053702.1",0,"Other",11,1,2016,"Missing and Other","Northeast"
"Other","MA","clinical","PDS000053702.1",2,"Other",11,1,2016,"Missing and Other","Northeast"
"Other","MA","clinical","PDS000053702.1",0,"Other",11,1,2016,"Missing and Other","Northeast"
"Other","MA","clinical","PDS000053702.1",7,"Other",11,1,2016,"Missing and Other","Northeast"
"Other","MA","clinical","PDS000053702.1",1,"Other",11,1,2016,"Missing and Other","Northeast"
"Other","MA","clinical","PDS000053702.1",0,"Other",11,1,2016,"Missing and Other","Northeast"
"Other","MA","clinical","PDS000053702.1",2,"Other",11,1,2016,"Missing and Other","Northeast"
"Other","MA","clinical","PDS000053702.1",1,"Other",11,1,2016,"Missing and Other","Northeast"
"Other","MA","clinical","PDS000053702.1",1,"Other",11,1,2016,"Missing and Other","Northeast"
"Other","MA","clinical","PDS000053702.1",5,"Other",11,1,2016,"Missing and Other","Northeast"
"Other","MA","clinical","PDS000053702.1",1,"Other",11,1,2016,"Missing and Other","Northeast"
"Other","MA","clinical","PDS000053702.1",2,"Other",11,1,2016,"Missing and Other","Northeast"
"Other","MA","clinical","PDS000053702.1",5,"Other",11,1,2016,"Missing and Other","Northeast"
"Other","MA","clinical","PDS000053702.1",0,"Other",11,1,2016,"Missing and Other","Northeast"
"Other","MA","clinical","PDS000053702.1",6,"Other",11,1,2016,"Missing and Other","Northeast"
"Other","MA","clinical","PDS000053702.1",2,"Other",11,1,2016,"Missing and Other","Northeast"
"Other","MA","clinical","PDS000053702.1",0,"Other",11,1,2016,"Missing and Other","Northeast"
"Other","MA","clinical","PDS000053702.1",1,"Other",11,1,2016,"Missing and Other","Northeast"
"Other","MA","clinical","PDS000053702.1",23,"Other",11,1,2016,"Missing and Other","Northeast"
"Other","FL",NA,"PDS000007860.6",NA,"Other",29,10,2015,"Human","South"
"Other","FL","environmental/other","PDS000007860.6",0,"Other",5,2,2016,"Cattle","South"
"Other","FL","environmental/other","PDS000007860.6",0,"Other",5,2,2016,"Cattle","South"
"Other","FL","environmental/other","PDS000007860.6",0,"Other",5,2,2016,"Cattle","South"
"Other","FL","environmental/other","PDS000007860.6",0,"Other",5,2,2016,"Cattle","South"
"Other","FL","environmental/other","PDS000007860.6",0,"Other",5,2,2016,"Cattle","South"
"Other","FL","environmental/other","PDS000007860.6",0,"Other",5,2,2016,"Cattle","South"
"Other","FL","environmental/other","PDS000007860.6",3,"Other",5,2,2016,"Cattle","South"
"Other","FL","environmental/other","PDS000007860.6",0,"Other",5,2,2016,"Cattle","South"
"Other","FL","environmental/other","PDS000007860.6",0,"Other",5,2,2016,"Cattle","South"
"Other","FL","environmental/other","PDS000007860.6",2,"Other",5,2,2016,"Cattle","South"
"Other","FL","environmental/other","PDS000007860.6",0,"Other",5,2,2016,"Cattle","South"
"Other","USA","clinical","PDS000006261.21",8,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",11,10,2016,"Missing and Other","USA, General"
NA,"USA","clinical","PDS000101288.3",36,"Other",7,5,2014,"Human","USA, General"
"Other","FL","environmental/other","PDS000001099.10",0,"Other",1,6,2016,"Cattle","South"
"Other","IA",NA,"PDS000046669.5",NA,"Other",26,11,2014,"Missing and Other","Midwest"
"Other","IA",NA,"PDS000046669.5",NA,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",20,11,2014,"Missing and Other","Midwest"
"Other","IA",NA,"PDS000046669.5",NA,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",30,10,2014,"Missing and Other","Midwest"
"Other","IA",NA,"PDS000046669.5",NA,"Other",6,11,2014,"Missing and Other","Midwest"
"Other","IA",NA,"PDS000046669.5",NA,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",4,12,2014,"Missing and Other","Midwest"
"Other","IA",NA,"PDS000046669.5",NA,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",16,9,2014,"Missing and Other","Midwest"
"Other","MS",NA,"PDS000082809.1",NA,"Other",15,6,2015,"Missing and Other","South"
"Other","MS",NA,"PDS000082809.1",NA,"Other",15,6,2015,"Missing and Other","South"
"Other","MS",NA,"PDS000082809.1",NA,"Other",27,7,2015,"Missing and Other","South"
"Other","MS",NA,"PDS000082809.1",NA,"Other",27,7,2015,"Missing and Other","South"
"Other","MS",NA,"PDS000082809.1",NA,"Other",27,7,2015,"Missing and Other","South"
"Other","MS",NA,"PDS000082809.1",NA,"Other",27,7,2015,"Missing and Other","South"
"Other","MS",NA,"PDS000082809.1",NA,"Other",24,8,2015,"Missing and Other","South"
"Other","MS",NA,"PDS000082809.1",NA,"Other",24,8,2015,"Missing and Other","South"
"Other","MS",NA,"PDS000082809.1",NA,"Other",24,8,2015,"Missing and Other","South"
"Other","MS",NA,"PDS000082809.1",NA,"Other",27,7,2015,"Missing and Other","South"
"Other","MS",NA,"PDS000082809.1",NA,"Other",27,7,2015,"Missing and Other","South"
"Other","MS",NA,"PDS000082809.1",NA,"Other",17,8,2015,"Missing and Other","South"
"Other","FL","environmental/other","PDS000006814.3",0,"Other",29,10,2015,"Cattle","South"
"Other","FL","environmental/other","PDS000006814.3",0,"Other",29,10,2015,"Cattle","South"
"Other","FL","environmental/other","PDS000007859.30",0,"Other",5,2,2016,"Cattle","South"
"Other","FL","environmental/other","PDS000007859.30",0,"Other",5,2,2016,"Cattle","South"
"Other","FL","environmental/other","PDS000012433.1",4,"Other",5,2,2016,"Cattle","South"
"Other","FL","environmental/other","PDS000012433.1",4,"Other",5,2,2016,"Cattle","South"
"Other","USA","clinical","PDS000033399.3",32,"acrF=MISTRANSLATION,blaEC=COMPLETE,mdtM=COMPLETE",13,12,2016,"Missing and Other","USA, General"
